Country,Cancer
Austria,0.04657097288676236
Germany,0.0725443473656341
Sweden,0.04918032786885246
Spain,0.041801335918982975
Italy,0.03546099290780142
France,0.05465648854961832
Denmark,0.04463171036204744
Greece,0.03040317250495704
Switzerland,0.05223251895534962
Belgium,0.05716652858326429
Israel,0.0625
Czech Republic,0.052732502396931925
Poland,0.054616384915474644
Luxembourg,0.07107843137254902
Hungary,0.05221414408460013
Portugal,0.07501995211492418
Slovenia,0.04111842105263158
Estonia,0.05128716822989423
Croatia,0.06046511627906977
Lithuania,0.06417382516422436
Bulgaria,0.02843846949327818
Cyprus,0.04201680672268908
Finland,0.0977710233029382
Latvia,0.0392156862745098
Malta,0.042741935483870966
Romania,0.016773556980759743
Slovakia,0.014653865588681153
