Country,Alzheimer
Austria,0.04401913875598086
Germany,0.021975112523166536
Sweden,0.025220680958385876
Spain,0.054083171730230556
Italy,0.023936170212765957
France,0.019236641221374046
Denmark,0.009987515605493134
Greece,0.01784534038334435
Switzerland,0.013058129738837404
Belgium,0.021955260977630488
Israel,0.05200381679389313
Czech Republic,0.022531160115052733
Poland,0.022106631989596878
Luxembourg,0.022058823529411766
Hungary,0.01784534038334435
Portugal,0.040702314445331206
Slovenia,0.042214912280701754
Estonia,0.02314907204150868
Croatia,0.020718816067653276
Lithuania,0.023244062657908033
Bulgaria,0.01344364012409514
Cyprus,0.03529411764705882
Finland,0.01773049645390071
Latvia,0.0142602495543672
Malta,0.010483870967741936
Romania,0.008880118401578688
Slovakia,0.0015159171298635675
